n,Rewrite_for,rewriting,rewriting (vm only),cbv,lazy,vm_compute,native(1)(real),native(2)(real),cbn,simpl
3495,5.108,4.719,4.675,3.344,8.715,0.18,0.293,0.301,,
3497,5.172,4.768,4.715,3.36,9.676,0.171,0.231,0.225,,
3499,5.172,4.764,4.708,3.34,8.576,0.175,0.287,0.241,,
3501,5.172,4.768,4.715,3.347,9.668,0.176,0.29,0.314,,
3503,5.163,4.763,4.711,3.359,8.743,0.176,0.318,0.306,,
3505,5.159,4.768,4.719,3.375,9.784,0.176,0.308,0.307,,
3507,5.284,4.888,4.84,3.415,8.692,0.179,0.304,0.245,,
3509,5.216,4.823,4.775,3.407,9.78,0.171,0.28,0.255,,
3511,5.231,4.84,4.791,3.423,8.787,0.176,0.28,0.35,,
3513,5.175,4.788,4.735,3.379,9.768,0.18,0.239,0.294,,
3515,5.231,4.824,4.771,3.395,8.724,0.176,0.243,0.375,,
3517,5.215,4.804,4.751,3.395,9.823,0.18,0.304,0.336,,
3519,5.208,4.807,4.755,3.395,8.731,0.18,0.324,0.315,,
3521,5.248,4.86,4.816,3.387,9.827,0.171,0.243,0.353,,
3523,5.327,4.935,4.891,3.428,8.735,0.176,0.299,0.298,,
3525,5.248,4.86,4.812,3.387,9.855,0.179,0.229,0.298,,
3527,5.264,4.867,4.823,3.415,8.752,0.176,0.299,0.236,,
3529,5.271,4.88,4.831,3.42,9.864,0.175,0.225,0.297,,
3531,5.264,4.867,4.82,3.42,8.768,0.176,0.304,0.31,,
3533,5.251,4.856,4.804,3.416,9.939,0.176,0.307,0.294,,
3535,5.239,4.855,4.811,3.407,8.895,0.176,0.3,0.238,,
3537,5.279,4.888,4.848,3.46,9.92,0.179,0.229,0.307,,
3539,5.391,4.996,4.943,3.415,8.88,0.183,0.235,0.23,,
3541,5.352,4.955,4.907,3.44,9.908,0.176,0.227,0.302,,
3543,5.344,4.952,4.907,3.447,8.9,0.18,0.243,0.305,,
3545,5.296,4.916,4.872,3.443,9.931,0.188,0.309,0.311,,
3547,5.352,4.94,4.891,3.468,8.887,0.175,0.311,0.301,,
3549,5.352,4.939,4.887,3.431,9.928,0.183,0.286,0.305,,
3551,5.355,4.952,4.9,3.46,8.88,0.188,0.315,0.241,,
3553,5.347,4.956,4.912,3.476,9.851,0.18,0.225,0.29,,
3555,5.448,5.059,5.011,3.436,9.119,0.183,0.23,0.282,,
3557,5.376,4.98,4.936,3.468,9.963,0.183,0.244,0.239,,
3559,5.403,5.011,4.963,3.483,9.083,0.18,0.226,0.295,,
3561,5.384,4.983,4.94,3.516,9.119,0.18,0.261,0.309,,
3563,5.364,4.976,4.936,3.519,9.228,0.183,0.311,0.306,,
3565,5.38,4.988,4.94,3.503,9.155,0.18,0.266,0.303,,
3567,5.364,4.967,4.92,3.491,9.323,0.18,0.275,0.362,,
3569,5.427,5.019,4.967,3.511,9.095,0.18,0.326,0.28,,
3571,5.543,5.132,5.079,3.527,9.328,0.179,0.329,0.25,,
3573,5.443,5.043,4.987,3.503,9.199,0.179,0.243,0.301,,
3575,5.427,5.032,4.992,3.528,10.164,0.184,0.318,0.248,,
3577,5.371,4.984,4.944,3.519,9.015,0.188,0.241,0.301,,
3579,5.376,4.992,4.944,3.507,10.076,0.18,0.302,0.309,,
3581,5.403,5.012,4.963,3.576,9.131,0.183,0.303,0.304,,
3583,5.44,5.043,5.,3.511,10.099,0.192,0.311,0.255,,
3585,5.48,5.087,5.032,3.556,9.256,0.18,0.295,0.245,,
3587,5.539,5.135,5.096,3.508,9.948,0.188,0.233,0.298,,
3589,5.491,5.096,5.048,3.608,9.336,0.192,0.298,0.246,,
3591,5.487,5.083,5.032,3.528,9.307,0.183,0.303,0.25,,
3593,5.456,5.063,5.019,3.507,9.48,0.187,0.306,0.245,,
3595,5.427,5.044,5.004,3.543,9.307,0.191,0.249,0.311,,
3597,5.46,5.076,5.032,3.544,10.163,0.184,0.308,0.361,,
3599,5.443,5.064,5.016,3.543,9.231,0.188,0.254,0.268,,
