n,Rewrite_for,rewriting,rewriting (vm only),cbv;rewrite_strat(bottomup),cbv;rewrite_strat(topdown),cbv;setoid_rewrite
651,0.508,0.288,0.264,,,
652,0.512,0.288,0.252,,,
653,0.463,0.243,0.215,,,
654,0.487,0.268,0.239,,,
655,0.491,0.271,0.243,,,
656,0.48,0.268,0.239,,,
657,0.451,0.24,0.212,,,
658,0.503,0.268,0.235,,,
659,0.455,0.239,0.211,,,
660,0.496,0.287,0.256,,,
661,0.448,0.24,0.207,,,
662,0.5,0.292,0.256,,,
663,0.515,0.3,0.268,,,
664,0.54,0.319,0.284,,,
665,0.583,0.367,0.34,,,
666,0.491,0.275,0.243,,,
667,0.496,0.271,0.243,,,
668,0.463,0.247,0.219,,,
669,0.479,0.268,0.24,,,
670,0.483,0.268,0.243,,,
671,0.491,0.275,0.247,,,
672,0.508,0.292,0.264,,,
673,0.503,0.275,0.247,,,
674,0.536,0.324,0.292,,,
675,0.563,0.348,0.316,,,
676,0.536,0.324,0.295,,,
677,0.528,0.316,0.283,,,
678,0.503,0.279,0.252,,,
679,0.503,0.287,0.256,,,
680,0.52,0.304,0.268,,,
681,0.503,0.283,0.252,,,
682,0.471,0.259,0.227,,,
683,0.512,0.296,0.268,,,
684,0.563,0.288,0.256,,,
685,0.484,0.259,0.235,,,
686,0.563,0.34,0.304,,,
687,0.531,0.311,0.28,,,
688,0.556,0.287,0.256,,,
689,0.5,0.288,0.256,,,
690,0.524,0.307,0.28,,,
691,0.503,0.28,0.251,,,
692,0.52,0.28,0.252,,,
693,0.52,0.291,0.259,,,
694,0.491,0.275,0.243,,,
695,0.532,0.307,0.276,,,
696,0.604,0.292,0.263,,,
697,0.507,0.28,0.248,,,
698,0.503,0.283,0.248,,,
699,0.507,0.287,0.256,,,
700,0.5,0.288,0.252,,,
701,0.527,0.28,0.26,,,
